zone_id,zone_name,borough
13,Battery Park City,Manhattan
24,Bloomingdale,Manhattan
43,Central Park,Manhattan
48,Clinton East,Manhattan
50,Clinton West,Manhattan
68,East Chelsea,Manhattan
70,East Elmhurst,Queens
75,East Harlem South,Manhattan
79,East Village,Manhattan
87,Financial District North,Manhattan
88,Financial District South,Manhattan
90,Flatiron,Manhattan
100,Garment District,Manhattan
107,Gramercy,Manhattan
113,Greenwich Village North,Manhattan
114,Greenwich Village South,Manhattan
125,Hudson Sq,Manhattan
132,JFK Airport,Queens
137,Kips Bay,Manhattan
138,LaGuardia Airport,Queens
140,Lenox Hill East,Manhattan
141,Lenox Hill West,Manhattan
142,Lincoln Square East,Manhattan
143,Lincoln Square West,Manhattan
144,Little Italy/NoLiTa,Manhattan
148,Lower East Side,Manhattan
151,Manhattan Valley,Manhattan
158,Meatpacking/West Village West,Manhattan
161,Midtown Center,Manhattan
162,Midtown East,Manhattan
163,Midtown North,Manhattan
164,Midtown South,Manhattan
166,Morningside Heights,Manhattan
170,Murray Hill,Manhattan
186,Penn Station/Madison Sq West,Manhattan
211,SoHo,Manhattan
229,Sutton Place/Turtle Bay North,Manhattan
230,Times Sq/Theatre District,Manhattan
231,TriBeCa/Civic Center,Manhattan
233,UN/Turtle Bay South,Manhattan
234,Union Sq,Manhattan
236,Upper East Side North,Manhattan
237,Upper East Side South,Manhattan
238,Upper West Side North,Manhattan
239,Upper West Side South,Manhattan
246,West Chelsea/Hudson Yards,Manhattan
249,West Village,Manhattan
261,World Trade Center,Manhattan
262,Yorkville East,Manhattan
263,Yorkville West,Manhattan
