month,step,rows
2024-01,raw,2964624
2024-01,drop_null_times,2964624
2024-01,drop_null_locations,2964624
2024-01,trip_distance_in_range,2904194
2024-01,duration_in_range,2891251
2024-01,fare_positive,2858971
2024-01,total_positive,2858971
2024-01,pickup_in_target_month,2858954
2024-02,raw,3007526
2024-02,drop_null_times,3007526
2024-02,drop_null_locations,3007526
2024-02,trip_distance_in_range,2939230
2024-02,duration_in_range,2926801
2024-02,fare_positive,2891143
2024-02,total_positive,2891143
2024-02,pickup_in_target_month,2891129
2024-03,raw,3582628
2024-03,drop_null_times,3582628
2024-03,drop_null_locations,3582628
2024-03,trip_distance_in_range,3495338
2024-03,duration_in_range,3480151
2024-03,fare_positive,3427518
2024-03,total_positive,3427518
2024-03,pickup_in_target_month,3427496
