hour_index,policy,unmet_demand,empty_distance_cost,service_rate,reduction_rate,unit_improvement_cost
475224,no_rebalance,172.000000,0.000000,0.694494,NA,NA
475224,greedy,98.333333,1328.223333,0.825340,0.428295,18.030181
475224,lp,98.333333,1328.223333,0.825340,0.428295,18.030181
475225,no_rebalance,74.000000,0.000000,0.716475,NA,NA
475225,greedy,38.888889,406.166667,0.851000,0.474474,11.568038
475225,lp,38.888889,406.166667,0.851000,0.474474,11.568038
475226,no_rebalance,53.000000,0.000000,0.700565,NA,NA
475226,greedy,37.444444,277.921111,0.788449,0.293501,17.866357
475226,lp,38.333333,276.040556,0.783427,0.276730,18.820947
475227,no_rebalance,122.000000,0.000000,0.380711,NA,NA
475227,greedy,108.222222,242.201667,0.450649,0.112933,17.579153
475227,lp,110.666667,43.896667,0.438240,0.092896,3.873235
475228,no_rebalance,372.000000,0.000000,0.221757,NA,NA
475228,greedy,364.555556,461.020000,0.237331,0.020012,61.928060
475228,lp,345.000000,176.336111,0.278243,0.072581,6.530967
475229,no_rebalance,1133.000000,0.000000,0.223441,NA,NA
475229,greedy,1080.444444,778.175556,0.259462,0.046386,14.806723
475229,lp,1080.888889,316.149444,0.259158,0.045994,6.066834
475230,no_rebalance,2338.000000,0.000000,0.319161,NA,NA
475230,greedy,2301.000000,221.126667,0.329936,0.015825,5.976396
475230,lp,2301.000000,56.366667,0.329936,0.015825,1.523423
475231,no_rebalance,2609.000000,0.000000,0.486922,NA,NA
475231,greedy,2275.000000,882.695000,0.552606,0.128018,2.642799
475231,lp,2284.555556,447.562222,0.550727,0.124356,1.379473
475232,no_rebalance,1676.000000,0.000000,0.691060,NA,NA
475232,greedy,1021.222222,3860.681667,0.811756,0.390679,5.896171
475232,lp,1021.222222,3560.906111,0.811756,0.390679,5.438343
475233,no_rebalance,1438.000000,0.000000,0.741878,NA,NA
475233,greedy,956.222222,3599.903889,0.828357,0.335033,7.472125
475233,lp,965.888889,3442.967778,0.826622,0.328311,7.292707
475234,no_rebalance,637.000000,0.000000,0.875098,NA,NA
475234,greedy,393.111111,2323.476667,0.922919,0.382871,9.526784
475234,lp,378.222222,2249.973333,0.925839,0.406245,8.694616
475235,no_rebalance,879.000000,0.000000,0.836890,NA,NA
475235,greedy,627.777778,3519.358889,0.883508,0.285805,14.008947
475235,lp,627.777778,3384.587222,0.883508,0.285805,13.472483
475236,no_rebalance,829.000000,0.000000,0.852884,NA,NA
475236,greedy,765.000000,3900.590556,0.864241,0.077201,60.946727
475236,lp,767.000000,3847.115556,0.863886,0.074789,62.050251
475237,no_rebalance,1082.000000,0.000000,0.822186,NA,NA
475237,greedy,955.222222,5032.638889,0.843020,0.117170,39.696538
475237,lp,1033.222222,1539.761111,0.830202,0.045081,31.566856
475238,no_rebalance,953.000000,0.000000,0.843514,NA,NA
475238,greedy,816.111111,4577.686667,0.865992,0.143640,33.440893
475238,lp,834.555556,2926.926111,0.862963,0.124286,24.711384
475239,no_rebalance,1215.000000,0.000000,0.799967,NA,NA
475239,greedy,740.000000,5750.625556,0.878169,0.390947,12.106580
475239,lp,740.000000,5534.789444,0.878169,0.390947,11.652188
475240,no_rebalance,1869.000000,0.000000,0.735344,NA,NA
475240,greedy,1542.111111,921.057222,0.781633,0.174900,2.817646
475240,lp,1608.111111,428.547778,0.772287,0.139587,1.642645
475241,no_rebalance,1850.000000,0.000000,0.759990,NA,NA
475241,greedy,1360.444444,3196.631111,0.823502,0.264625,6.529660
475241,lp,1417.555556,707.041111,0.816093,0.233754,1.634987
475242,no_rebalance,943.000000,0.000000,0.856665,NA,NA
475242,greedy,427.666667,4650.511667,0.934995,0.546483,9.024279
475242,lp,447.222222,4600.390000,0.932023,0.525745,9.279137
475243,no_rebalance,1877.000000,0.000000,0.729227,NA,NA
475243,greedy,1239.666667,5385.669444,0.821168,0.339549,8.450318
475243,lp,1214.111111,5330.106111,0.824854,0.353164,8.040723
475244,no_rebalance,2733.000000,0.000000,0.648940,NA,NA
475244,greedy,2038.777778,7319.903333,0.738115,0.254015,10.544035
475244,lp,2016.555556,7071.046667,0.740969,0.262146,9.869637
475245,no_rebalance,1268.000000,0.000000,0.776248,NA,NA
475245,greedy,766.000000,5756.733333,0.864831,0.395899,11.467596
475245,lp,766.000000,5756.733333,0.864831,0.395899,11.467596
475246,no_rebalance,656.000000,0.000000,0.794808,NA,NA
475246,greedy,248.111111,5419.368333,0.922393,0.621782,13.286384
475246,lp,248.111111,5419.368333,0.922393,0.621782,13.286384
475247,no_rebalance,323.000000,0.000000,0.786939,NA,NA
475247,greedy,77.666667,3466.555556,0.948769,0.759546,14.129982
475247,lp,77.666667,3466.555556,0.948769,0.759546,14.129982
