test_hour_pos,hour_index,unmet_no,unmet_greedy,unmet_lp,cost_no,cost_greedy,cost_lp,srv_no,srv_greedy,srv_lp
1,475224,172.000000,98.333333,98.333333,0.000000,1328.223333,1328.223333,0.694494,0.825340,0.825340
2,475225,74.000000,38.888889,38.888889,0.000000,406.166667,406.166667,0.716475,0.851000,0.851000
3,475226,53.000000,37.444444,38.333333,0.000000,277.921111,276.040556,0.700565,0.788449,0.783427
4,475227,122.000000,108.222222,110.666667,0.000000,242.201667,43.896667,0.380711,0.450649,0.438240
5,475228,372.000000,364.555556,345.000000,0.000000,461.020000,176.336111,0.221757,0.237331,0.278243
6,475229,1133.000000,1080.444444,1080.888889,0.000000,778.175556,316.149444,0.223441,0.259462,0.259158
7,475230,2338.000000,2301.000000,2301.000000,0.000000,221.126667,56.366667,0.319161,0.329936,0.329936
8,475231,2609.000000,2275.000000,2284.555556,0.000000,882.695000,447.562222,0.486922,0.552606,0.550727
9,475232,1676.000000,1021.222222,1021.222222,0.000000,3860.681667,3560.906111,0.691060,0.811756,0.811756
10,475233,1438.000000,956.222222,965.888889,0.000000,3599.903889,3442.967778,0.741878,0.828357,0.826622
11,475234,637.000000,393.111111,378.222222,0.000000,2323.476667,2249.973333,0.875098,0.922919,0.925839
12,475235,879.000000,627.777778,627.777778,0.000000,3519.358889,3384.587222,0.836890,0.883508,0.883508
13,475236,829.000000,765.000000,767.000000,0.000000,3900.590556,3847.115556,0.852884,0.864241,0.863886
14,475237,1082.000000,955.222222,1033.222222,0.000000,5032.638889,1539.761111,0.822186,0.843020,0.830202
15,475238,953.000000,816.111111,834.555556,0.000000,4577.686667,2926.926111,0.843514,0.865992,0.862963
16,475239,1215.000000,740.000000,740.000000,0.000000,5750.625556,5534.789444,0.799967,0.878169,0.878169
17,475240,1869.000000,1542.111111,1608.111111,0.000000,921.057222,428.547778,0.735344,0.781633,0.772287
18,475241,1850.000000,1360.444444,1417.555556,0.000000,3196.631111,707.041111,0.759990,0.823502,0.816093
19,475242,943.000000,427.666667,447.222222,0.000000,4650.511667,4600.390000,0.856665,0.934995,0.932023
20,475243,1877.000000,1239.666667,1214.111111,0.000000,5385.669444,5330.106111,0.729227,0.821168,0.824854
21,475244,2733.000000,2038.777778,2016.555556,0.000000,7319.903333,7071.046667,0.648940,0.738115,0.740969
22,475245,1268.000000,766.000000,766.000000,0.000000,5756.733333,5756.733333,0.776248,0.864831,0.864831
23,475246,656.000000,248.111111,248.111111,0.000000,5419.368333,5419.368333,0.794808,0.922393,0.922393
24,475247,323.000000,77.666667,77.666667,0.000000,3466.555556,3466.555556,0.786939,0.948769,0.948769
