scenario,unmet_no,unmet_greedy,unmet_lp,srv_no,srv_greedy,srv_lp
1,269.000000,27.444444,27.444444,0.771064,0.976643,0.976643
2,257.000000,17.666667,17.666667,0.784577,0.985191,0.985191
3,277.000000,18.333333,18.333333,0.764656,0.984424,0.984424
4,252.000000,10.444444,10.444444,0.788057,0.991216,0.991216
5,271.000000,23.777778,23.777778,0.768376,0.979677,0.979677
6,265.000000,21.111111,21.111111,0.770165,0.981690,0.981690
7,264.000000,12.000000,12.000000,0.779817,0.989992,0.989992
8,267.000000,31.888889,31.888889,0.778607,0.973558,0.973558
9,254.000000,16.555556,16.555556,0.787625,0.986158,0.986158
10,271.000000,28.444444,28.444444,0.769362,0.975792,0.975792
11,253.000000,7.666667,7.666667,0.775908,0.993209,0.993209
12,223.000000,9.333333,9.333333,0.801954,0.991711,0.991711
13,265.000000,16.222222,16.222222,0.775233,0.986241,0.986241
14,253.000000,6.000000,6.000000,0.799842,0.995253,0.995253
15,262.000000,20.888889,20.888889,0.781119,0.982549,0.982549
16,273.000000,36.555556,36.555556,0.767263,0.968836,0.968836
17,259.000000,13.666667,13.666667,0.786127,0.988715,0.988715
18,256.000000,21.111111,21.111111,0.783235,0.982124,0.982124
19,277.000000,39.666667,39.666667,0.764656,0.966298,0.966298
20,263.000000,21.222222,21.222222,0.772884,0.981673,0.981673
21,265.000000,17.666667,17.666667,0.770364,0.984691,0.984691
22,275.000000,39.666667,39.666667,0.770451,0.966889,0.966889
23,252.000000,9.111111,9.111111,0.778753,0.992001,0.992001
24,242.000000,9.555556,9.555556,0.799337,0.992077,0.992077
25,248.000000,9.444444,9.444444,0.791070,0.992043,0.992043
26,239.000000,11.000000,11.000000,0.791084,0.990385,0.990385
27,259.000000,16.555556,16.555556,0.777873,0.985801,0.985801
28,286.000000,33.777778,33.777778,0.762852,0.971992,0.971992
29,260.000000,13.000000,13.000000,0.783514,0.989176,0.989176
30,273.000000,17.555556,17.555556,0.767857,0.985072,0.985072
31,282.000000,41.666667,41.666667,0.766942,0.965565,0.965565
32,259.000000,20.333333,20.333333,0.783806,0.983027,0.983027
33,252.000000,19.888889,19.888889,0.791563,0.983549,0.983549
34,238.000000,0.777778,0.777778,0.788444,0.999309,0.999309
35,274.000000,22.777778,22.777778,0.767600,0.980680,0.980680
36,277.000000,25.777778,25.777778,0.766245,0.978247,0.978247
37,240.000000,9.000000,9.000000,0.797468,0.992405,0.992405
38,294.000000,50.222222,50.222222,0.756824,0.958460,0.958460
