hour_index,zone_pos,zone_id,zone_name,borough,Q_current,P_true_next,gap
475230,1,161,Midtown Center,Manhattan,139.000000,116.000000,23.000000
475230,2,237,Upper East Side South,Manhattan,50.000000,126.000000,-76.000000
475230,3,236,Upper East Side North,Manhattan,30.000000,200.000000,-170.000000
475230,4,132,JFK Airport,Queens,37.000000,208.000000,-171.000000
475230,5,162,Midtown East,Manhattan,54.000000,138.000000,-84.000000
475230,6,230,Times Sq/Theatre District,Manhattan,63.000000,71.000000,-8.000000
475230,7,186,Penn Station/Madison Sq West,Manhattan,40.000000,232.000000,-192.000000
475230,8,142,Lincoln Square East,Manhattan,22.000000,100.000000,-78.000000
475230,9,239,Upper West Side South,Manhattan,18.000000,145.000000,-127.000000
475230,10,138,LaGuardia Airport,Queens,38.000000,56.000000,-18.000000
475230,11,163,Midtown North,Manhattan,44.000000,60.000000,-16.000000
475230,12,170,Murray Hill,Manhattan,47.000000,74.000000,-27.000000
475230,13,234,Union Sq,Manhattan,24.000000,42.000000,-18.000000
475230,14,68,East Chelsea,Manhattan,40.000000,73.000000,-33.000000
475230,15,48,Clinton East,Manhattan,15.000000,132.000000,-117.000000
475230,16,141,Lenox Hill West,Manhattan,28.000000,132.000000,-104.000000
475230,17,79,East Village,Manhattan,5.000000,54.000000,-49.000000
475230,18,249,West Village,Manhattan,4.000000,65.000000,-61.000000
475230,19,164,Midtown South,Manhattan,14.000000,48.000000,-34.000000
475230,20,140,Lenox Hill East,Manhattan,78.000000,109.000000,-31.000000
475230,21,238,Upper West Side North,Manhattan,14.000000,113.000000,-99.000000
475230,22,107,Gramercy,Manhattan,21.000000,96.000000,-75.000000
475230,23,263,Yorkville West,Manhattan,13.000000,124.000000,-111.000000
475230,24,229,Sutton Place/Turtle Bay North,Manhattan,15.000000,81.000000,-66.000000
475230,25,246,West Chelsea/Hudson Yards,Manhattan,23.000000,25.000000,-2.000000
475230,26,90,Flatiron,Manhattan,9.000000,39.000000,-30.000000
475230,27,43,Central Park,Manhattan,12.000000,33.000000,-21.000000
475230,28,100,Garment District,Manhattan,15.000000,97.000000,-82.000000
475230,29,114,Greenwich Village South,Manhattan,4.000000,14.000000,-10.000000
475230,30,113,Greenwich Village North,Manhattan,5.000000,42.000000,-37.000000
475230,31,262,Yorkville East,Manhattan,5.000000,134.000000,-129.000000
475230,32,231,TriBeCa/Civic Center,Manhattan,26.000000,35.000000,-9.000000
475230,33,143,Lincoln Square West,Manhattan,1.000000,69.000000,-68.000000
475230,34,233,UN/Turtle Bay South,Manhattan,27.000000,49.000000,-22.000000
475230,35,137,Kips Bay,Manhattan,52.000000,40.000000,12.000000
475230,36,148,Lower East Side,Manhattan,2.000000,12.000000,-10.000000
475230,37,144,Little Italy/NoLiTa,Manhattan,2.000000,7.000000,-5.000000
475230,38,158,Meatpacking/West Village West,Manhattan,2.000000,17.000000,-15.000000
475230,39,151,Manhattan Valley,Manhattan,6.000000,49.000000,-43.000000
475230,40,211,SoHo,Manhattan,3.000000,13.000000,-10.000000
475230,41,75,East Harlem South,Manhattan,35.000000,36.000000,-1.000000
475230,42,50,Clinton West,Manhattan,7.000000,24.000000,-17.000000
475230,43,13,Battery Park City,Manhattan,20.000000,23.000000,-3.000000
475230,44,125,Hudson Sq,Manhattan,6.000000,15.000000,-9.000000
475230,45,166,Morningside Heights,Manhattan,6.000000,18.000000,-12.000000
475230,46,261,World Trade Center,Manhattan,1.000000,10.000000,-9.000000
475230,47,87,Financial District North,Manhattan,4.000000,14.000000,-10.000000
475230,48,70,East Elmhurst,Queens,2.000000,8.000000,-6.000000
475230,49,24,Bloomingdale,Manhattan,0.000000,13.000000,-13.000000
475230,50,88,Financial District South,Manhattan,5.000000,3.000000,2.000000
