lambda,mean_unmet,mean_cost,mean_service_rate,sum_unmet,sum_cost,greedy_mean_unmet,greedy_mean_cost
1.000000,1027.777778,146.680694,0.700895,24666.666667,3520.336667,844.958333,3053.288449
2.000000,973.041667,296.924653,0.709605,23353.000000,7126.191667,844.958333,3053.288449
4.000000,965.083333,344.060417,0.711092,23162.000000,8257.450000,844.958333,3053.288449
6.000000,964.504630,344.060417,0.711198,23148.111111,8257.450000,844.958333,3053.288449
8.000000,957.060185,408.173380,0.712802,22969.444444,9796.161111,844.958333,3053.288449
10.000000,912.523148,937.555764,0.727274,21900.555556,22501.338333,844.958333,3053.288449
12.000000,909.444444,986.241134,0.727799,21826.666667,23669.787222,844.958333,3053.288449
14.000000,909.824074,992.211713,0.727980,21835.777778,23813.081111,844.958333,3053.288449
16.000000,909.092593,992.211713,0.728111,21818.222222,23813.081111,844.958333,3053.288449
18.000000,853.467593,2552.490556,0.750732,20483.222222,61259.773333,844.958333,3053.288449
20.000000,852.537037,2596.564884,0.750885,20460.888889,62317.557222,844.958333,3053.288449
22.000000,852.365741,2596.564884,0.750918,20456.777778,62317.557222,844.958333,3053.288449
25.000000,851.634259,2596.564884,0.751050,20439.222222,62317.557222,844.958333,3053.288449
30.000000,851.634259,2596.564884,0.751050,20439.222222,62317.557222,844.958333,3053.288449
40.000000,851.634259,2596.564884,0.751050,20439.222222,62317.557222,844.958333,3053.288449
50.000000,851.634259,2596.564884,0.751050,20439.222222,62317.557222,844.958333,3053.288449
75.000000,851.634259,2596.564884,0.751050,20439.222222,62317.557222,844.958333,3053.288449
100.000000,851.634259,2596.564884,0.751050,20439.222222,62317.557222,844.958333,3053.288449
150.000000,851.634259,2596.564884,0.751050,20439.222222,62317.557222,844.958333,3053.288449
200.000000,851.634259,2596.564884,0.751050,20439.222222,62317.557222,844.958333,3053.288449
